Hepatite B,Total,1999-2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Casos,247.89,53.051,12.406,13.4,15.004,13.711,16.683,16.286,16.72,16.743,16.149,14.829,14.251,14.686,13.971
Taxa de Incidência,-,-,"6,6","7,1","7,8","7,2","8,7","8,4","8,3","8,3","7,9","7,2","6,9","7,0","6,6"
