"Imunobiológicos";"Acre";"Alagoas";"Amapá";"Amazonas";"Bahia";"Ceará";"Distrito Federal";"Espírito Santo";"Goiás";"Maranhão";"Mato Grosso";"Mato Grosso do Sul";"Minas Gerais";"Pará";"Paraíba";"Paraná";"Pernambuco";"Piauí";"Rio de Janeiro";"Rio Grande do Norte";"Rio Grande do Sul";"Rondônia";"Roraima";"Santa Catarina";"São Paulo";"Sergipe";"Tocantins";" Total"
"Ignorado";"22,44";"20,89";"28,66";"18,40";"16,88";"18,09";"17,99";"15,33";"13,71";"19,74";"13,22";"15,03";"14,96";"23,13";"16,28";"14,24";"15,86";"14,45";"8,69";"21,18";"13,12";"15,92";"14,02";"13,75";"17,24";"21,87";"14,76";"16,05"
"Total";"22,44";"20,89";"28,66";"18,40";"16,88";"18,09";"17,99";"15,33";"13,71";"19,74";"13,22";"15,03";"14,96";"23,13";"16,28";"14,24";"15,86";"14,45";"8,69";"21,18";"13,12";"15,92";"14,02";"13,75";"17,24";"21,87";"14,76";"16,05"
