"Imunobiológicos";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"Ignorado";"15,83";"14,00";"16,42";"15,34";"21,60";"18,49";"14,28";"16,05"
"Total";"15,83";"14,00";"16,42";"15,34";"21,60";"18,49";"14,28";"16,05"
