,Total
Acre,22.44
Alagoas,20.89
Amapá,28.66
Amazonas,18.4
Bahia,16.88
Ceará,18.09
Distrito Federal,17.99
Espírito Santo,15.33
Goiás,13.71
Maranhão,19.74
Mato Grosso,13.22
Mato Grosso do Sul,15.03
Minas Gerais,14.96
Pará,23.13
Paraíba,16.28
Paraná,14.24
Pernambuco,15.86
Piauí,14.45
Rio de Janeiro,8.69
Rio Grande do Norte,21.18
Rio Grande do Sul,13.12
Rondônia,15.92
Roraima,14.02
Santa Catarina,13.75
São Paulo,17.24
Sergipe,21.87
Tocantins,14.76
